eng,sim,tra
"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.",11 点 29 分左右，抗议人群向前行进至白厅，经过特拉法尔加广场、斯特兰德大街、奥德维奇、京士威，向霍尔本行进，保守党正在当地的 Grand Connaught Rooms 酒店举行春季论坛。,11:29 左右，示威者朝白廳移動，越過特拉法加廣場，沿著河岸街，經過奧德維奇，自金斯威往北朝霍本前進，當時保守黨正於此處的格蘭康納特飯店舉行春季座談會。
Nadal's head to head record against the Canadian is 7–2.,纳达尔（Nadal）与加拿大人的交手记录是 7-2。,納達爾與這名加拿大選手的交手紀錄為 7–2。
He recently lost against Raonic in the Brisbane Open.,不久前，他在布里斯班公开赛上败于拉奥尼奇。,他最近在布里斯本公開賽中輸給了拉奧尼奇。
Nadal bagged 88% net points in the match winning 76 points in the first serve.,纳达尔（Nadal ）在比赛中把 88% 的净胜分收入囊中，在第一个发球局赢得 76 分。,納達爾在這場比賽中拿下了 88% 的網前分，首發贏得 76 分。
"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""",赛后，红土之王拉斐尔·纳达尔称：“我很开心重返能这项重大赛事的决赛，我会尽全力争取夺冠。”,紅土之王在賽後說道：「能在最重要的賽事中重返最後一輪，我感到興奮不已，我會盡力贏得比賽。」
"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","“巴拿马文件” 是巴拿马莫萨克·冯塞卡律师事务所 (Mossack Fonseca) 约 1,000 万份文件的总称，这些文件在 2016 年春季被爆料给媒体。",「巴拿馬文件」統稱 2016 年春天，巴拿馬法律事務所莫薩克‧馮賽卡外洩給媒體的文件，約有一千萬份。
The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,文件显示，十四家银行帮助富有的客户隐藏了数十亿美元的财富来逃避税收和其它监管。,文件中指出 14 家銀行協助富有客戶藏匿了數十億美元的資產，以規避稅金與其他法規。
British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,英国《卫报》指出，在用于实现这一目标的 1200 家空壳公司中，德意志银行控制了大约三分之一。,"英國報紙《衛報》暗指，用於實現此目的的 1,200 間空殼公司裡，德意志銀行控制了大約三分之一。"
"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.",世界各地都发生了抗议活动，有几起刑事诉讼，冰岛和巴基斯坦政府的领导人都辞职了。,此事件造成世界各地的抗議活動 、多起刑事訴訟，冰島及巴基斯坦的政府領導人也雙雙辭職。
"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".",马生于香港，曾就读于纽约大学和哈佛大学法学院，还一度持有美国永久居民身份证“绿卡”。,馬英九出生於香港，曾就讀於紐約大學和哈佛法學院，並曾持有美國永久居民的「綠卡」。
Hsieh implied during the election that Ma might flee the country during a time of crisis.,谢长廷在选举期间暗示，马英九在遇到危机时可能会逃离台湾。,謝長廷在選舉期間暗指馬英九可能會在危難時刻逃出國。
Hsieh also argued that the photogenic Ma was more style than substance.,谢长廷还声称马英九虽然很上镜，但中看不中用。,謝長廷還表明，上相的馬英九只是虛有其表。
"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.",尽管受到这些指责，马英九在一次演讲中主张与中国大陆建立更加紧密的联系，并轻松获胜。,儘管有這些指控，馬英九仍以提倡與中國大陸形成更緊密連結的政見輕易獲勝。
Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,今日最佳选手是来自华盛顿首都队的亚历克斯·奥韦奇金。,獲得今日最佳球員的是華盛頓首都隊的亞歷克斯．歐維契金。
He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,在华盛顿队以 5-3 的比分战胜亚特兰大鸫鸟队的比赛中，他贡献了 2 个进球和 2 次助攻。,在華盛頓以五比三擊敗亞特蘭大鶇鳥的比賽中，他進了兩球並有兩次助攻。
Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,奥韦奇金（Ovechkin）当晚的第一个助攻，来自新秀尼克拉斯·贝克斯特伦 (Nicklas Backstrom) 的制胜一球;,奧維琴根當晚第一記助攻，就獻給新人尼可拉斯‧巴克斯卓打進的那顆致勝球；
"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.",他当晚的第二个进球是他本赛季的第60个进球，成为自1995-96赛季以来首位在一个赛季中打进60个或更多进球的球员——在1995-96赛季，亚罗米尔·雅格和马里奥·拉缪都达到了这一里程碑。,他當晚的第二次射門得分，是他在該賽季的第 60 次得分，這使他成為 1995-96 賽季以來第一位在單一賽季進 60 球以上的球員。亞羅米爾·佳格 (Jaromir Jagr) 和馬里奧·拉謬 (Mario Lemieux) 在 1995-96 賽季中分別達到這個里程碑。
Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,巴滕位列 2008 年全美最富有 400 人榜单第 190 位，预计其财富达到约 23 亿美元。,巴汀以估計為 23 億美元的財產，在 2008 年美國前四百大富豪排行榜上名列第 190 位。
He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,他在 1950 年毕业于弗吉尼亚大学艺术与科学学院，并且是该校的重要捐赠者。,他在 1950 年從維吉尼亞大學藝術與科學學院畢業，並且大力資助該學院。
Iraq's Abu Ghraib prison has been set alight during a riot.,伊拉克的阿布格莱布监狱在一次暴乱中着火。,伊拉克的阿布格萊布監獄在一次暴亂中慘遭祝融。
The jail became notorious after prisoner abuse was discovered there after US forces took over.,美军接管后，该监狱发现了虐囚事件，自此变得声名狼藉。,此監獄因美軍接手後爆發的虐囚事件而惡名昭彰。
"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.",在 2008 年新加坡大奖赛上，费尔南多·阿隆索提前进站后，小皮奎特发生撞车，迫使安全车出场。,2008 年新加坡大獎賽中，小畢奇在費爾南多·阿隆索短暫停車檢修不久後，就發生撞車事故，導致安全車出動。
"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.",当位于阿隆索前面的赛车在安全车的引领下进行加油时，他趁机抢先，最终赢得了胜利。,當阿隆索前面的汽車在安全車的引領下進站加油時，他移動到車隊的前方以取得勝利。
Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,小皮奎特在 2009 年匈牙利大奖赛之后被解雇。,小畢奇在 2009 年匈牙利大獎賽後失去賽車手的身分。
"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.",正值上午 8 点 46 分，整座城市陷入了寂静，标示了第一架飞机撞上目标的确切时间。,上午8點46分時，整座城市陷入一片寂靜，此刻正是第一架噴射機撞擊目標的確切時間。
Two beams of light have been rigged up to point skywards overnight.,两束光被临时造出，彻夜指向天空。,整個晚上，兩道光束直直照向天際。
"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.",该地点正在建设五座新摩天大楼，中间有一个交通中心和纪念公园。,目前正在原址興建五座新的摩天大樓，中間有一座轉運站和紀念公園。
"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.",PBS 电视台的这个节目荣获二十多项艾美奖，其播出历史仅次于《芝麻街》和《罗杰斯先生的左邻右舍》。,這部美國公共電視臺 (PBS) 出品的節目獲得超過 24 座艾美獎，播出時間僅次於《芝麻街》和《羅傑斯先生的鄰居》。
Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,每集节目都会聚焦于特定图书中的某个主题，并通过多个故事对该主题展开探索活动。,節目的每一集將專注在一本特定書籍中的某個主題上，並接著藉由多個故事來探索該主題。
Each show would also provide recommendations for books that children should look for when they went to their library.,每期节目还会向孩子们提供建议，向推荐他们在去图书馆时应当查阅的书籍。,每集節目也將為孩子們去圖書館時應該找的書提供建議。
"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""",来自水牛城 WNED 电台（“阅读彩虹”节目的主电台）的约翰·格兰特 (John Grant) 说：“阅读彩虹教会了孩子们为什么要阅读，……还有对阅读的热爱——（该节目）鼓励孩子们拿起书来潜心阅读。”,來自水牛城 WNED 電台（閱讀彩虹的母台）的約翰·格蘭特表示，「閱讀彩虹教導孩子們為何要閱讀，......熱愛閱讀。[該節目]鼓勵孩子們拿起書本開始閱讀。」
"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.",约翰·格兰特等人认为，该节目之所以停播，是因为资金短缺，以及教育节目制作理念发生了转变。,包括約翰葛蘭特在內的一些人認為，財政困難及電視教育節目理念的改變，促使此系列畫下句點。
"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.",预报员称，这场位于佛得角群岛以西 645 英里（1040 公里）的风暴可能在对陆地地区造成威胁之前就会自行消散。,氣象預報員說，這場颶風位於維德角島西方 645 英里（1040 公里）處，很有可能在威脅到陸地之前就消散掉。
Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,“弗雷德”目前正以每小时 105 英里（每小时 165 公里）的风速向西北方向移动。,弗雷德 (Fred) 目前風速為每小時 105 英里（165 公里／小時）並往西北方前進。
"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.",“弗雷德”是卫星图像问世以来，在大西洋南部和东部记录到的最强热带气旋，也是有记录以来西经 35° 以东地区的第三大飓风。,弗雷德是有衛星影像以來，大西洋東南方記錄上威力最強的熱帶颶風，卻還只 是 35°W 以東記錄上第三大颶風。
"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.",1759 年 9 月 24 日，阿瑟·吉尼斯在爱尔兰都柏林为圣詹姆斯之门啤酒厂签署了一份 9000 年的租约。,1759 年 9 月 24 日，亞瑟‧健力士簽署了愛爾蘭都柏林聖詹姆士門釀酒廠的租約，租期九千年。
"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.",250 年后，健力士已经成长为年营业额 100 亿欧元（147亿美元）的全球性企业。,250 年後，健力士已發展為一間全球企業，每年營業額超過 100 億歐元（約 147 億美元）。
"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.",今天，A1GP 新西兰队副驾驶约翰·里德 (Jonny Reid) 在合法驾驶的情况下，成为在有 48 年历史的新西兰奥克兰海港大桥上行驶最快的人，从而创造了历史。,A1GP 汽車大獎賽紐西蘭隊副駕駛強尼瑞德，今天合法地創下了最快速駕駛通過 48 年歷史的紐西蘭奧克蘭海灣大橋的紀錄。
"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.",瑞德先生最终驾驶新西兰 A1GP 汽车“黑美人”，以超过 160 千米每小时的速度七次穿过桥梁。,里德先生駕駛紐西蘭的 A1GP 汽車「黑美人」，以時速超過 160 公里成功過橋七次。
"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.",由于“黑美人”的底盘过低，新西兰警方没法用测速雷达枪来检测里德先生的车速。警方唯一一次成功检测到里德先生的车速，是在他将车速降到 160 公里/小时的时候。,因為黑美人車身太低，紐西蘭警方未能使用測速槍測得瑞德的車速，直到車速降至時速 160 公里，警察才成功測得一次。
"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.",在过去的 3 个月里，超过 80 名被捕者在没有被正式起诉的情况下从中央拘留所释放。,在過去 3 個月裏，中央懲處中心釋放了超過 80 名被捕人士，他們都沒有被正式起訴。
"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.",今年 4 月，格林法官针对该机构颁布了一项临时禁令，强制释放那些被关押 24 小时以上，却没有得到法庭专员听证的人。,今年四月，葛林法官針對監獄核發臨時禁制令，要求強制釋放在被捕後已拘留超過 24 小時但仍未收到法院通知預審的人。
"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.",如果获得批准，法庭专员即可设定保释金，并最终确定执行逮捕的警员提出的指控。这些指控随后会录入该州的计算机系统，以便在其中对案件进行追踪。,如果獲得批准，法院助理法官會決定保釋金額，並正式受理執行逮捕之警員提出的指控。接下來這些指控會進入該州的電腦系統，藉以追蹤案件進度。
The hearing also marks the date for the suspect’s right to a speedy trial.,听证会也会根据嫌疑人的权利，定下快速审判的日期。,聽證會同時也確定了嫌疑犯獲得訊速審判的日期。
"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.",澳大利亚财务部长、最有可能接替总理约翰·霍华德担任自由党领袖的彼得·科斯特洛，对澳大利亚的核电工业表示支持。,澳洲財政部長彼德‧寇斯特洛，同時也是最可能接任約翰‧霍華德總理成為自由黨主席的人選，表示支持澳洲核能產業。
"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.",科斯特洛先生说，当核能发电在经济上有可行性的时候，澳大利亚应当推进核电的使用。,科斯特洛部長表示，一旦經濟方面可行，澳洲應使用核能發電。
"""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.",“如果可以用于商业目的，我们就应该推广这种方式。也就是说，原则上不存在反对核能的理由。”科斯特洛先生说道。,「一旦它能夠商業化，我們就應該要擁有。也就是說，對核能發電並沒有原則上的反對，」卡斯特洛先生說。
"According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.",安莎通讯社表示：“警方对多起高层遇袭事件感到担忧，担心这类事件可能会引发一场全面继任战争。,Ansa 表示，警方憂心最猛烈的數起攻擊恐造成繼任之爭全面爆發。
Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.,警方表示，洛皮科洛之所以能占上风，是因为他曾是普罗文扎诺在巴勒莫的得力助手。他经验丰富，赢得了老一辈黑帮老大们的尊重，这些人奉行普罗文扎诺的政策，在增强帮派势力的同时，尽可能保持低调。,警方說，洛·皮科洛之所以佔了上風是因為他在巴勒莫曾擔任普羅文察諾的左右手，較豐富的經驗為他贏得老一輩頭目的尊敬，他們依循普羅文察諾的方針，在強化權力網絡的同時，儘可能保持低調。
"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""",1992 年，普罗文扎诺（Provenzano）结束了由里亚纳发动的反政府的战争，这场战争夺去了黑手党十字军乔瓦尼·法尔科内（Giovanni Falcone）和保罗·博尔塞利诺（Paolo Borsellino）的生命，随后这些老大们就被他控制住了。“,這些老大在普文札諾於 1992 年結束里納針對國家發動的衝突時已被控制住，該場衝突奪走了黑手黨改革鬥士喬凡尼‧法爾康 (Giovanni Falcone) 和保羅‧波賽里尼 (Paolo Borsellino) 的性命。
Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.,苹果公司的首席执行官史蒂夫·乔布斯走上舞台，从他的牛仔裤口袋里掏出 iPhone，揭开了这款设备的神秘面纱。,蘋果執行長賈伯斯展示這個裝置的方法，是在走上舞台的同時，把 iPhone 從牛仔褲口袋中拿出來。
"During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".",在他时长 2 小时的演讲中，他声称：“现在苹果要重新发明手机，我们现在要创造历史。”,在他為時 2 個小時的演說中，他表示：「今天蘋果將重新打造電話，我們會在今天創造歷史。」
"Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.",巴西是世界上最大的罗马天主教国家，而该国的罗马天主教会向来反对同性婚姻合法化。,巴西是地球上最大的羅馬天主教國家，而羅馬天主教會一向反對同性婚姻在巴西合法化。
"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.",10 年来，巴西国民议会一直就其合法性进行讨论，目前这种民间婚姻只在南里奥格兰德 (Rio Grande do Sul) 是合法的。,巴西國民議會已進行了 10 年的合法化辯論，但這樣的民事婚姻目前只有在南里約格蘭德合法。
"The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.",最初的法案由前圣保罗市长玛尔塔·苏普里希草拟。这项经过修改的立法提案，目前由罗伯托·杰斐逊负责。,原本的法案是由前聖保羅市長瑪爾塔‧蘇普利希起草的。草擬的法案經過修改後，現已交給羅伯托‧傑弗遜處理。
Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.,抗议者希望在请愿书上收集 120 万个签名，并在十一月提交给国民议会。,示威者希望能夠收集一百二十萬個連署簽名，在十一月提交給國會。
"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.",显然，很多家庭都在寻求法律帮助，以反对这种驱逐行为。为此，东湾社区法律中心于3月20日举行会议，帮助房屋诈骗的受害者。,在許多抗拒驅逐令的家庭尋求法律援助一事浮上檯面後，東灣社區法律中心遂於 3 月 20 日為住所詐騙案的受害者辦了一場公聽會。
"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.",房客们开始聊起身边趣闻，这时大部分涉事家庭突然意识到，OHA 的卡罗琳·威尔逊私吞了他们的押金，溜出城去了。,當房客開始分享自己所遭遇的狀況，多數捲入事件的家庭突然意識到，奧克蘭房屋委員會的 Carolyn Wilson 偷走他們的保證金並已捲款潛逃。
"Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.",Lockwood Gardens 的租户认为，可能还有 40户 甚至更多的家庭面临被驱逐的命运，因为他们了解到，奥克兰住房管理局的警察还在调查奥克兰其他可能陷入房屋骗局的公房。,洛克伍德花園中的房客相信，可能還有 40 個或更多家庭將被逐出，因為他們明白奧克蘭住宅管理局的警察也在調查其他可能遭受住宅欺詐的奧克蘭公共住宅。
"The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.",乐队取消了演出活动，并向粉丝们表示了歉意。该场演出原本应在毛伊岛战争纪念体育场举行，预计将有 9000 人参与其中。,"樂團取消了在茂宜島戰爭紀念體育場的演出，該演出原定會有 9,000 人參加，並向歌迷道歉。"
"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.",乐队的经纪公司是香港管理公司（HK management Inc.），该公司在 9 月 20 日最初取消演出活动时并未给出原因，转天却将之归咎于后勤保障原因。,樂團的管理公司 HK Management Inc. 在 9 月 20 日取消活動時，並未給出最初的原因，但在第二天將原因歸咎於後勤問題。
"The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption.",希腊著名律师萨基斯·科查吉欧格鲁 (Sakis Kechagioglou) 和乔治·尼可拉考普洛斯 (George Nikolakopoulos) 因被判贪污和腐败被关押在雅典的 Korydallus 监狱。,知名的希臘律師薩基斯凱亥尤基由（Sakis Kechagioglou）和熱格尼科拉克波琉斯（George Nikolakopoulos）因為他們被判貪污和腐敗有罪，已被關在雃典的柯里達洛斯（Korydallus）看守所。
"As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years.",因此，随着法官、律师、法务官和检察官前几年的非法勾当曝光于世，在希腊法律界引发了一场大丑闻。,為此之故，法官、律師、事務律師及檢察官過去幾年來從事過的非法行為也跟著曝光，從而揭發了希臘司法體系的大醜聞。
"A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption.",几周前，议员兼律师马基斯·特里安塔菲洛普洛斯在阿尔法电视台的热门电视节目《Zoungla》中公布了这一消息，随后彼得罗斯·曼图瓦洛斯因其办公室成员涉嫌非法贪污受贿而被革职。,幾個禮拜前，記者麥基斯 (Makis Triantafylopoulos) 在他於阿爾法電視台的熱門節目《Zoungla》中披露此訊息後，國會議員暨律師貝佐斯 (Petros Mantouvalos) 旋即因辦公室成員曾涉及非法賄賂和貪腐而下台。
"Moreover, top judge Evangelos Kalousis is imprisoned as he found guilty of corruption and degenerate behaviour.",此外，最高法官埃万杰洛斯·卡卢西斯因腐败和堕落行为被判入狱。,此外，首席法官依凡傑洛斯・克勞西斯因涉嫌貪瀆及墮落行為而鋃鐺入獄。
"Roberts flatly refused to say about when he believes life begins, an important question when considering the ethics of abortion, saying that it would be unethical to comment on the specifics of likely cases.",罗伯茨断然拒绝谈论生命从何时开始的问题。这是考虑堕胎伦理时的一个重要问题，他说，评论可能发生的案件细节是不道德的。,羅伯茲斷然拒絕說明他所相信的生命起始點，這在墮胎倫理議題上是非常重要的問題，並表示評論特定可能的具體情況是不道德的。
"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.",然而，他重申了先前的声明，即罗伊诉韦德案（Roe v. Wade）是“美国的既定法律”，并强调最高法院作出一致性裁决的重要性。,然而，他重申了他先前的說法：「羅訴韋德案」是「國家的既定法律」，並強調了最高法院一致裁決的重要性。
He also confirmed that he believed in the implied right to privacy which the Roe decision depended upon.,他还确认，他赞成默示隐私权，而这默示隐私权是罗伊（Roe）案件的裁决依据。,他也確認，他深信羅訴韋德案所仰賴的隱含隱私權。
"Maroochydore had finished on top of the ladder, six points clear of Noosa in second.",马鲁基多尔 (Maroochydore) 已经遥遥领先，以六分的优势领先第二名的努沙 (Noosa)。,馬魯基多爾隊最後摘下冠軍，領先第二名的努沙隊六分。
The two sides would meet in the major semi final where Noosa ran out winners by 11 points.,双方在主要的半决赛中较量。努萨以 11 分的优势获胜。,兩隊將在大準決賽時碰頭，因為努沙隊以 11 分贏得比賽。
Maroochydore then defeated Caboolture in the Preliminary Final.,马鲁基多尔 (Maroochydore) 随后在预决赛中击败了卡布尔彻 (Caboolture)。,接著，馬魯基多爾隊在準決賽打敗了卡布丘隊。
Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,伊氏西爪龙属于驰龙科，是迅猛龙的表亲。,伊氏西爪龍屬於馳龍科，是迅猛龍的近親。
"This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor.",据说，这种全身长满羽毛的温血猛禽像迅猛龙一样，用带爪子的两条腿直立行走。,這種全身覆蓋羽毛、溫血的猛禽據信已能以帶爪的雙腳直立行走，像迅猛龍一樣。
"Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw.""",它的第二只爪子要大一些，因此得名“赫斯佩罗龙”，意思是“西方的爪”。,牠的第二隻爪比較大，使牠獲得西爪龍的封號，意指「西方之爪」。
"In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.",不只是碎冰，极端的天气状况也让救援工作困难重重。,極端天氣狀況除了會導致冰層破碎，也阻礙了救援工作。
Pittman suggested that conditions wouldn't improve until sometime next week.,皮特曼认为天气情况要到下周才能改善。,皮特曼認為天氣狀況要到下週才有可能改善。
"The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years.",皮特曼（Pittman）认为，这样的积冰的数量和厚度，是猎海豹船在过去 15 年以来遇到的最坏情况。,根據皮特曼的說法，這次堆冰的數量和厚度，是海豹獵人這十五年來見過最糟的情況。
News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.,今天红湖社区为杰夫·韦斯 (Jeff Weise) 和九名受害者中的三人举行葬礼时有消息称，另一名与 3 月 21 日校园枪击案有关的学生已被捕。,今天於紅湖社區一帶流傳的消息為由於又有一名涉嫌 3 月 21 日校園槍擊案的學生被捕，因此傑夫·魏斯與九名受害者當中其三的葬禮暫停舉行。
Authorities said little officially beyond confirming today's arrest.,除了确认今天的逮捕外，官方几乎没有发布任何其他信息。,當局除了確認今日的逮捕行動之外，透露甚少訊息。
